Sample,X,Y,Z
304,-0.012,-0.375,0.969
305,0.176,0.098,1.059
306,0.113,0.230,1.004
307,0.293,0.184,1.070
308,0.293,0.109,1.031
309,0.031,0.180,1.008
310,-0.352,0.027,0.941
311,-0.352,-0.328,0.965
312,-0.023,-0.266,1.066
313,0.145,0.270,0.973
314,0.199,0.352,1.023
315,0.164,0.008,1.070
316,0.008,0.199,0.914
317,-0.059,-0.004,1.004
318,0.020,-0.234,0.961
319,-0.039,0.242,0.973
320,-0.098,-0.027,0.926
321,0.219,-0.086,1.133
322,0.242,0.051,0.965
323,0.180,0.207,1.039
324,0.137,0.148,1.020
325,0.027,-0.055,0.977
326,0.070,-0.098,1.059
327,0.000,-0.320,1.004
328,0.008,0.258,0.980
329,0.027,0.176,0.906
330,0.160,-0.035,1.094
331,0.016,0.379,0.938
332,-0.055,-0.270,1.082
333,0.039,-0.336,1.004
334,0.113,0.230,1.062
335,-0.090,0.094,0.934
336,-0.023,0.250,1.020
337,-0.238,0.137,0.902
338,-0.172,-0.129,0.973
339,0.141,-0.184,1.059
340,0.176,0.094,1.086
341,0.074,0.242,0.902
342,0.125,0.012,1.023
343,0.293,0.145,1.141
344,0.125,-0.027,0.988
345,-0.059,-0.062,0.906
346,-0.145,-0.004,0.977
347,-0.031,-0.137,0.918
348,0.094,0.211,1.012
349,0.016,0.238,0.914
350,0.125,-0.070,1.059
351,0.230,-0.156,1.133
352,0.199,0.164,1.043
353,0.105,-0.078,1.004
354,0.094,-0.031,1.090
355,-0.074,0.238,0.949
356,-0.086,0.020,0.980
357,-0.207,0.020,0.977
358,-0.320,0.137,0.797
359,-0.090,-0.059,1.027
360,0.148,-0.074,1.016
361,0.445,0.121,1.156
362,0.176,0.012,0.992
363,-0.160,0.145,0.980
364,-0.250,-0.020,0.891
365,-0.031,-0.082,1.117
366,0.031,-0.039,0.957
367,-0.031,0.020,1.035
368,-0.047,-0.078,1.035
369,0.145,0.164,0.930
370,0.195,0.426,0.992
371,0.133,0.195,0.992
372,0.137,-0.191,1.121
373,-0.082,-0.148,0.887
374,-0.035,0.008,0.965
375,-0.035,0.008,0.965
376,0.188,0.207,1.129
377,0.121,0.062,0.883
378,-0.004,0.262,0.984
379,-0.066,-0.301,1.109
380,-0.027,-0.102,0.992
381,0.016,0.273,0.961
382,0.012,0.039,1.059
383,0.160,0.031,1.078
384,-0.008,0.156,0.980
385,-0.117,-0.062,0.922
386,-0.254,0.090,0.930
387,-0.090,0.051,0.945
388,0.215,-0.055,1.070
389,0.223,0.086,1.012
390,-0.086,0.105,1.031
391,-0.094,-0.117,0.977
392,-0.055,0.141,0.922
393,0.059,0.324,0.973
394,0.164,-0.141,1.074
395,0.059,-0.262,1.055
396,-0.059,-0.066,0.988
397,0.027,0.156,0.992
398,0.184,0.172,1.098
399,0.164,0.156,0.969
400,0.012,-0.242,1.094
401,-0.148,-0.027,0.965
402,-0.230,0.289,0.859
403,-0.008,0.047,0.945
404,0.215,0.281,1.008
405,0.250,0.082,0.996
406,0.148,-0.145,1.090
407,0.008,0.023,1.023
408,-0.074,0.059,0.961
409,-0.035,-0.012,1.043
410,-0.035,-0.086,0.988
411,-0.211,-0.027,0.945
412,-0.176,-0.070,1.043
413,0.051,-0.016,0.898
414,0.125,0.180,1.070
415,0.125,0.129,0.953
416,0.266,0.238,1.102
417,0.223,0.000,1.031
418,0.078,-0.277,1.074
419,-0.023,0.109,0.988
420,-0.148,0.062,0.949
421,-0.047,0.070,0.871
422,0.074,0.129,1.062
423,-0.016,-0.219,0.941
424,-0.055,0.039,1.070
425,-0.066,-0.020,0.969
426,0.180,0.281,1.059
