Sample,X,Y,Z
316,0.000,0.098,0.938
317,0.090,0.059,1.098
318,0.227,0.188,1.023
319,0.090,0.168,0.941
320,-0.074,-0.125,1.082
321,-0.133,-0.133,0.977
322,-0.055,-0.047,1.016
323,-0.047,0.195,0.883
324,0.137,0.137,1.023
325,0.156,-0.168,1.117
326,0.078,-0.152,1.070
327,0.109,0.023,0.914
328,-0.016,0.082,1.016
329,-0.105,0.340,0.875
330,0.121,0.016,1.090
331,0.113,-0.219,1.031
332,0.020,0.016,0.906
333,-0.023,0.105,0.973
334,0.059,0.129,1.020
335,0.211,0.098,1.090
336,0.152,-0.055,1.062
337,-0.020,-0.082,1.000
338,-0.172,0.000,0.934
339,-0.004,0.121,1.000
340,0.230,0.309,1.055
341,0.191,-0.230,1.027
342,0.059,0.043,1.059
343,-0.172,0.090,0.891
344,-0.145,-0.039,0.961
345,0.125,0.371,0.988
346,0.074,-0.008,0.953
347,-0.016,-0.191,1.043
348,-0.172,0.027,0.945
349,-0.051,-0.176,1.055
350,0.254,0.086,0.980
351,0.230,0.250,1.172
352,0.066,0.004,0.945
353,-0.027,-0.234,1.059
354,-0.156,-0.039,0.949
355,-0.039,-0.008,0.945
356,0.086,-0.027,0.977
357,0.070,0.520,0.941
358,-0.012,0.289,0.840
359,0.227,-0.070,1.125
360,0.289,-0.289,1.070
361,0.305,0.207,1.090
362,0.078,-0.184,1.047
363,-0.145,0.148,1.020
364,-0.207,0.047,0.898
365,-0.195,-0.352,1.031
366,-0.117,0.336,1.004
367,-0.109,0.188,0.852
368,0.051,-0.262,1.164
369,0.141,0.312,0.996
370,0.164,0.152,0.953
371,0.176,0.051,1.027
372,-0.086,0.102,1.023
373,-0.223,-0.055,0.902
374,-0.070,-0.180,1.082
375,-0.012,-0.219,0.902
376,0.023,0.348,0.996
377,-0.047,0.043,1.066
378,0.141,-0.199,1.078
379,0.113,0.332,0.801
380,0.230,0.238,1.047
381,0.227,-0.094,1.117
382,0.176,-0.109,1.164
383,-0.125,0.070,0.844
384,-0.102,-0.105,1.051
385,0.004,0.172,0.879
386,0.234,0.398,1.027
387,0.188,-0.219,1.043
388,0.062,0.234,1.047
389,-0.199,-0.285,0.883
390,-0.203,-0.004,1.125
391,-0.094,0.391,0.812
392,0.055,0.020,1.113
393,-0.039,-0.051,0.977
394,-0.203,-0.301,1.039
395,-0.074,-0.055,0.965
396,0.156,0.324,1.012
397,0.285,0.320,1.012
398,0.102,-0.027,1.000
399,-0.148,0.055,1.004
400,-0.273,0.012,0.855
401,0.027,0.000,1.113
402,0.262,0.168,0.945
403,0.156,-0.051,1.164
404,-0.098,-0.070,0.848
405,-0.035,-0.234,1.141
406,0.020,-0.031,0.934
407,0.301,0.523,1.125
408,0.066,-0.168,0.945
409,-0.098,0.047,0.980
410,-0.254,0.215,0.848
411,0.023,-0.309,1.160
412,0.223,0.305,0.992
413,0.129,0.242,0.930
414,0.059,-0.129,1.023
415,0.027,0.086,1.008
416,0.184,-0.008,1.027
417,0.242,0.008,1.148
418,-0.109,0.242,0.918
419,-0.406,-0.242,1.004
420,-0.488,-0.062,0.793
421,0.012,0.199,0.973
422,0.277,-0.129,1.070
423,0.277,-0.129,1.070
424,0.398,0.250,1.055
425,0.129,-0.152,1.086
426,0.125,0.031,0.992
427,0.074,0.332,1.062
428,-0.059,-0.195,0.949
429,0.043,-0.008,1.102
430,-0.227,-0.289,0.926
431,-0.164,0.203,0.836
432,0.039,0.375,1.004
433,0.090,-0.109,1.020
434,0.262,0.277,0.938
435,0.168,-0.082,1.133
436,0.047,-0.234,1.078
437,0.020,0.227,0.984
438,-0.066,-0.090,0.949
439,-0.035,0.258,0.949
440,0.031,0.102,1.020
441,-0.113,-0.121,0.961
442,-0.051,-0.129,1.023
443,0.008,0.277,0.906
444,0.129,0.160,1.098
445,0.172,-0.047,1.047
446,0.000,-0.176,1.078
447,-0.070,-0.211,0.980
448,0.090,0.297,0.984
449,0.074,0.191,0.953
450,0.082,0.129,0.898
451,0.090,-0.172,1.172
452,-0.152,-0.254,0.930
453,-0.094,0.254,0.871
454,0.035,-0.031,1.121
455,0.172,-0.039,1.035
456,0.289,0.004,1.062
457,0.008,0.055,0.930
458,-0.012,0.164,0.902
459,-0.105,0.324,1.000
460,0.035,-0.270,1.090
461,0.211,-0.121,1.012
462,0.180,0.176,0.996
463,-0.008,-0.102,1.016
464,-0.062,0.211,0.965
465,0.039,0.070,1.055
466,0.141,-0.086,0.980
467,0.059,0.148,0.992
468,-0.230,0.023,0.938
469,-0.168,-0.156,1.000
470,0.215,0.078,1.070
471,0.277,0.008,1.078
472,0.094,0.211,1.016
473,-0.176,-0.008,0.910
474,-0.320,-0.199,1.000
475,-0.117,0.152,0.891
476,0.078,0.129,1.059
477,0.016,-0.105,0.918
478,0.184,0.000,1.082
479,0.312,0.133,1.059
480,0.348,0.090,1.102
481,0.035,0.328,0.879
482,-0.129,-0.137,0.902
483,-0.133,-0.117,1.062
484,0.074,-0.086,0.949
485,0.094,0.105,1.000
486,0.039,0.023,1.008
487,0.234,0.000,1.125
488,0.332,-0.074,0.992
489,0.180,0.230,1.055
490,-0.180,0.102,0.902
491,-0.137,-0.055,0.992
492,0.000,0.062,1.059
493,0.004,0.121,0.965
494,0.039,0.027,1.043
