Sample,X,Y,Z
345,0.504,0.090,0.816
346,-0.105,0.062,0.465
347,-0.625,-0.547,0.891
348,-0.570,-0.262,1.105
349,-0.152,0.195,0.875
350,0.035,-0.086,1.254
351,0.027,0.223,1.184
352,0.387,0.656,1.070
353,0.422,0.156,1.316
354,0.328,0.055,0.945
355,0.160,0.352,0.754
356,-0.145,-0.809,1.113
357,-0.449,-0.648,0.875
358,-0.375,-0.078,0.855
359,-0.273,-0.082,0.965
360,0.043,-0.676,1.297
361,0.324,0.609,1.309
362,0.328,0.695,0.613
363,0.184,0.676,0.828
364,0.395,0.676,0.992
365,0.438,0.730,0.961
366,0.012,-0.445,0.746
367,-0.336,-0.512,0.742
368,-0.305,-0.461,1.188
369,-0.082,-1.043,1.625
370,-0.039,-0.262,0.766
371,0.059,0.840,0.867
372,0.008,-0.633,1.531
373,0.195,-0.516,1.250
374,0.480,0.875,0.773
375,0.215,0.207,0.891
376,-0.129,-0.352,1.090
377,0.086,0.590,0.789
378,0.285,0.195,0.980
379,-0.289,-0.258,1.090
380,-0.531,0.031,0.766
381,0.035,-0.105,0.898
382,0.535,-0.387,1.488
383,0.309,0.426,0.695
384,0.062,1.773,0.309
385,-0.227,-0.031,1.230
386,-0.188,-0.293,1.109
387,0.445,0.992,0.484
388,0.188,-0.027,1.191
389,-0.547,-0.766,1.152
390,-0.207,-0.016,1.152
391,0.160,0.137,1.125
392,0.328,-0.348,1.188
393,0.355,-0.090,0.977
394,0.043,0.160,0.992
395,-0.051,-0.625,1.141
396,0.078,-0.059,0.859
397,-0.051,0.660,0.480
398,0.051,-0.195,1.293
399,0.121,-0.043,1.422
400,-0.047,0.609,0.641
401,-0.188,0.270,0.910
402,-0.023,-0.750,1.332
403,0.566,-0.371,1.375
404,0.574,0.836,0.648
405,-0.074,0.438,0.617
406,-0.477,0.035,0.902
407,-0.355,0.023,0.859
408,-0.027,-0.285,1.137
409,0.102,-0.336,1.094
410,-0.180,0.301,0.703
411,-0.137,0.160,1.402
412,0.184,-0.109,1.203
413,0.430,0.664,0.641
414,0.344,0.270,0.887
415,0.105,-0.828,1.352
416,0.176,-0.469,1.223
417,-0.004,0.117,0.758
418,-0.207,0.020,0.879
419,-0.230,-0.387,1.336
420,-0.051,0.230,0.953
421,0.211,0.531,0.895
422,0.160,-0.207,1.285
423,-0.039,0.016,1.105
424,-0.008,-0.086,0.695
425,0.395,0.078,1.000
426,0.355,-0.020,1.316
427,-0.387,0.812,0.266
428,-0.297,0.848,0.707
429,-0.395,-0.324,1.500
430,-0.188,-0.438,0.953
431,0.293,1.234,0.547
432,0.148,-0.496,1.680
433,-0.215,-0.668,0.941
434,0.180,1.273,0.684
435,0.234,-0.219,1.117
436,0.242,-1.414,1.336
437,0.148,0.684,0.887
438,-0.066,-0.121,0.742
439,-0.125,-0.871,1.273
440,-0.035,0.676,1.129
441,0.199,0.219,0.863
