Sample,X,Y,Z
382,0.223,0.250,0.789
383,-0.039,-0.035,0.941
384,-0.191,0.586,0.562
385,-0.129,0.031,0.949
386,-0.109,-0.801,1.504
387,-0.121,0.195,0.336
388,0.316,0.668,1.398
389,0.207,-0.031,1.496
390,0.020,0.277,0.395
391,0.219,0.574,1.062
392,0.090,-1.211,1.453
393,0.160,-1.156,1.156
394,-0.039,0.695,0.809
395,-0.336,-0.355,0.691
396,-0.027,-0.656,1.508
397,0.043,0.422,1.020
398,0.031,0.402,0.578
399,0.145,-0.672,1.527
400,-0.078,0.023,0.988
401,0.305,0.902,0.652
402,0.445,-0.520,1.453
403,-0.277,0.707,0.441
404,-0.285,1.113,0.480
405,-0.180,-0.641,1.543
406,-0.012,0.062,0.820
407,0.117,0.473,0.781
408,-0.320,-0.426,0.895
409,-0.012,0.188,1.461
410,0.242,0.184,1.078
411,0.227,0.254,0.621
412,0.293,-0.059,1.180
413,0.055,-0.496,1.359
414,0.062,-0.320,0.871
415,-0.012,0.227,0.984
416,-0.078,-0.113,0.980
417,0.145,-0.203,1.395
418,0.066,0.562,0.801
419,0.086,0.430,0.945
420,-0.160,-0.250,1.301
421,-0.234,-0.234,0.828
422,0.164,-0.020,0.980
423,0.461,-0.109,1.105
424,-0.184,0.465,0.520
425,-0.434,1.047,0.711
426,-0.344,-0.051,0.805
427,0.027,-0.305,1.375
428,-0.051,0.430,0.707
429,-0.035,0.070,1.230
430,-0.258,-0.637,1.000
431,0.023,0.215,1.199
432,0.168,0.484,0.699
433,0.328,-0.273,1.090
434,0.078,-0.363,1.129
435,-0.016,-0.121,0.891
436,0.266,-1.164,1.328
437,0.113,-0.152,1.270
438,0.031,0.262,0.668
439,0.152,-0.148,1.355
440,0.172,0.031,1.344
441,-0.047,0.344,0.336
442,0.188,-0.223,1.012
443,0.180,-0.516,1.402
444,0.141,-0.070,0.773
445,-0.250,1.383,0.527
446,-0.531,0.355,0.914
447,-0.121,-0.387,1.383
448,0.289,0.309,1.121
449,-0.016,0.730,0.668
450,-0.238,-0.590,1.156
451,-0.316,-0.309,1.336
452,-0.031,0.641,0.488
453,0.266,0.293,0.777
454,0.129,-0.656,1.422
455,-0.215,0.160,0.539
456,0.145,0.195,1.051
457,-0.082,-0.207,1.129
458,0.039,0.324,0.969
459,0.215,0.398,1.219
460,0.395,-0.508,1.594
461,0.449,-0.418,0.867
462,0.199,0.508,0.867
463,-0.141,-0.398,0.977
464,0.281,-0.816,1.387
465,-0.070,0.836,0.445
466,-0.520,0.375,0.477
467,-0.434,-0.465,1.281
468,-0.059,0.539,1.125
469,0.191,0.820,0.867
470,0.148,-0.352,1.449
471,-0.137,-0.137,1.008
472,0.129,0.160,0.988
